Call Id;Agent;Date;Time;Topic;Answered (Y/N);Resolved;Speed of answer in seconds;AvgTalkDuration;Satisfaction rating;Calls Answered (Y);Total Calls Resolved
ID0001;Diane;01.01.2021;0.38400462962963;Contract related;Y;Y;109;12:02:23 AM;3;Y;4054
ID0002;Becky;01.01.2021;0.38400462962963;Technical Support;Y;N;70;12:04:02 AM;3;Y;
ID0003;Stewart;01.01.2021;0.40799768518519;Contract related;Y;Y;10;12:02:11 AM;3;Y;3646
ID0004;Greg;01.01.2021;0.40799768518519;Contract related;Y;Y;53;12:00:37 AM;2;Y;
ID0005;Becky;01.01.2021;0.41700231481481;Payment related;Y;Y;95;12:01:00 AM;3;Y;
ID0006;Stewart;01.01.2021;0.41700231481481;Technical Support;N;N;;;;N;
ID0007;Diane;01.01.2021;0.43200231481481;Payment related;Y;Y;24;12:03:40 AM;2;Y;
ID0008;Diane;01.01.2021;0.43200231481481;Payment related;Y;Y;22;12:00:38 AM;4;Y;
ID0009;Greg;01.01.2021;0.46799768518519;Admin Support;Y;Y;15;12:06:38 AM;4;Y;
ID0010;Jim;01.01.2021;0.46799768518519;Streaming;Y;Y;78;12:01:04 AM;3;Y;
ID0011;Joe;01.01.2021;0.46900462962963;Payment related;N;N;;;;N;
ID0012;Greg;01.01.2021;0.46900462962963;Payment related;Y;Y;50;12:00:32 AM;4;Y;
ID0013;Joe;01.01.2021;0.495;Payment related;Y;Y;84;12:03:34 AM;3;Y;
ID0014;Martha;01.01.2021;0.495;Contract related;Y;Y;89;12:05:44 AM;3;Y;
ID0015;Becky;01.01.2021;0.49700231481481;Admin Support;Y;Y;48;12:03:47 AM;4;Y;
ID0016;Becky;01.01.2021;0.49700231481481;Admin Support;Y;Y;63;12:05:26 AM;2;Y;
ID0017;Greg;01.01.2021;0.49799768518519;Technical Support;Y;Y;45;12:05:32 AM;5;Y;
ID0018;Becky;01.01.2021;0.49799768518519;Admin Support;N;N;;;;N;
ID0019;Jim;01.01.2021;0.50099537037037;Streaming;N;N;;;;N;
ID0020;Jim;01.01.2021;0.50099537037037;Contract related;Y;Y;101;12:02:27 AM;3;Y;
ID0021;Jim;01.01.2021;0.50200231481481;Technical Support;Y;Y;74;12:05:22 AM;5;Y;
ID0022;Dan;01.01.2021;0.50200231481481;Admin Support;Y;Y;89;12:05:50 AM;5;Y;
ID0023;Martha;01.01.2021;0.50200231481481;Technical Support;N;N;;;;N;
ID0024;Joe;01.01.2021;0.50200231481481;Technical Support;Y;Y;68;12:05:25 AM;2;Y;
ID0025;Diane;01.01.2021;0.52099537037037;Streaming;Y;Y;97;12:04:09 AM;3;Y;
ID0026;Dan;01.01.2021;0.52099537037037;Payment related;N;N;;;;N;
ID0027;Joe;01.01.2021;0.52799768518519;Streaming;Y;Y;39;12:04:00 AM;3;Y;
ID0028;Martha;01.01.2021;0.52799768518519;Contract related;Y;Y;51;12:02:34 AM;4;Y;
ID0029;Joe;01.01.2021;0.52799768518519;Technical Support;Y;Y;106;12:02:09 AM;4;Y;
ID0030;Stewart;01.01.2021;0.52799768518519;Streaming;Y;Y;107;12:05:55 AM;3;Y;
ID0031;Joe;01.01.2021;0.55900462962963;Admin Support;Y;Y;22;12:05:08 AM;3;Y;
ID0032;Joe;01.01.2021;0.55900462962963;Streaming;Y;Y;122;12:02:08 AM;4;Y;
ID0033;Diane;01.01.2021;0.565;Technical Support;Y;Y;57;12:06:49 AM;3;Y;
ID0034;Jim;01.01.2021;0.565;Payment related;Y;N;53;12:01:44 AM;2;Y;
ID0035;Becky;01.01.2021;0.57099537037037;Streaming;Y;Y;119;12:01:31 AM;5;Y;
ID0036;Diane;01.01.2021;0.57099537037037;Streaming;N;N;;;;N;
ID0037;Martha;01.01.2021;0.57099537037037;Technical Support;Y;N;20;12:01:12 AM;2;Y;
ID0038;Joe;01.01.2021;0.57099537037037;Technical Support;Y;Y;52;12:00:36 AM;3;Y;
ID0039;Stewart;01.01.2021;0.61;Contract related;Y;Y;74;12:06:41 AM;1;Y;
ID0040;Greg;01.01.2021;0.61;Technical Support;Y;Y;49;12:02:29 AM;3;Y;
ID0041;Jim;01.01.2021;0.61599537037037;Technical Support;Y;Y;27;12:02:09 AM;5;Y;
ID0042;Greg;01.01.2021;0.61599537037037;Contract related;Y;Y;100;12:04:54 AM;5;Y;
ID0043;Diane;01.01.2021;0.61599537037037;Technical Support;Y;Y;45;12:06:21 AM;3;Y;
ID0044;Becky;01.01.2021;0.61599537037037;Payment related;Y;Y;98;12:03:14 AM;5;Y;
ID0045;Diane;01.01.2021;0.65599537037037;Admin Support;Y;Y;25;12:05:13 AM;5;Y;
ID0046;Jim;01.01.2021;0.65599537037037;Contract related;N;N;;;;N;
ID0047;Dan;01.01.2021;0.71799768518519;Admin Support;Y;Y;107;12:02:22 AM;3;Y;
ID0048;Martha;01.01.2021;0.71799768518519;Contract related;N;N;;;;N;
ID0049;Joe;01.01.2021;0.72599537037037;Technical Support;Y;Y;104;12:03:35 AM;5;Y;
ID0050;Dan;01.01.2021;0.72599537037037;Technical Support;N;N;;;;N;
ID0051;Martha;01.01.2021;0.73299768518519;Contract related;N;N;;;;N;
ID0052;Jim;01.01.2021;0.73299768518519;Admin Support;N;N;;;;N;
ID0053;Stewart;01.01.2021;0.73400462962963;Payment related;Y;Y;13;12:01:15 AM;5;Y;
ID0054;Dan;01.01.2021;0.73400462962963;Payment related;Y;Y;119;12:02:32 AM;5;Y;
ID0055;Becky;01.01.2021;0.73900462962963;Streaming;Y;Y;35;12:01:19 AM;3;Y;
ID0056;Dan;01.01.2021;0.73900462962963;Streaming;Y;Y;83;12:06:45 AM;4;Y;
ID0057;Jim;01.01.2021;0.74799768518519;Technical Support;Y;Y;48;12:02:52 AM;2;Y;
ID0058;Stewart;01.01.2021;0.74799768518519;Admin Support;Y;Y;45;12:03:23 AM;5;Y;
ID0059;Dan;02.01.2021;0.37900462962963;Technical Support;Y;Y;65;12:06:00 AM;5;Y;
ID0060;Dan;02.01.2021;0.37900462962963;Contract related;Y;Y;50;12:04:26 AM;3;Y;
ID0061;Diane;02.01.2021;0.38799768518519;Streaming;Y;Y;17;12:06:15 AM;3;Y;
ID0062;Joe;02.01.2021;0.38799768518519;Technical Support;N;N;;;;N;
ID0063;Dan;02.01.2021;0.38900462962963;Streaming;Y;Y;96;12:06:46 AM;1;Y;
ID0064;Stewart;02.01.2021;0.38900462962963;Streaming;Y;Y;90;12:06:23 AM;3;Y;
ID0065;Jim;02.01.2021;0.40200231481481;Contract related;Y;Y;98;12:06:25 AM;2;Y;
ID0066;Diane;02.01.2021;0.40200231481481;Technical Support;Y;N;90;12:01:23 AM;4;Y;
ID0067;Jim;02.01.2021;0.42;Contract related;Y;Y;98;12:05:49 AM;5;Y;
ID0068;Jim;02.01.2021;0.42;Contract related;Y;Y;70;12:03:12 AM;5;Y;
ID0069;Diane;02.01.2021;0.44;Contract related;Y;Y;69;12:04:45 AM;4;Y;
ID0070;Diane;02.01.2021;0.44;Admin Support;N;N;;;;N;
ID0071;Joe;02.01.2021;0.46400462962963;Technical Support;Y;Y;120;12:02:11 AM;4;Y;
ID0072;Stewart;02.01.2021;0.46400462962963;Admin Support;Y;Y;113;12:05:51 AM;5;Y;
ID0073;Greg;02.01.2021;0.47700231481481;Payment related;Y;N;10;12:02:19 AM;5;Y;
ID0074;Becky;02.01.2021;0.47700231481481;Contract related;Y;Y;122;12:04:53 AM;1;Y;
ID0075;Stewart;02.01.2021;0.48799768518519;Technical Support;Y;N;125;12:01:38 AM;3;Y;
ID0076;Diane;02.01.2021;0.48799768518519;Admin Support;N;N;;;;N;
ID0077;Martha;02.01.2021;0.49099537037037;Technical Support;Y;Y;33;12:06:38 AM;2;Y;
ID0078;Dan;02.01.2021;0.49099537037037;Contract related;Y;Y;51;12:06:22 AM;2;Y;
ID0079;Becky;02.01.2021;0.49599537037037;Contract related;Y;Y;58;12:03:28 AM;3;Y;
ID0080;Dan;02.01.2021;0.49599537037037;Admin Support;Y;Y;121;12:04:47 AM;5;Y;
ID0081;Diane;02.01.2021;0.5;Admin Support;Y;Y;118;12:02:06 AM;4;Y;
ID0082;Greg;02.01.2021;0.5;Payment related;Y;Y;52;12:06:56 AM;4;Y;
ID0083;Stewart;02.01.2021;0.51400462962963;Admin Support;Y;Y;55;12:04:44 AM;3;Y;
ID0084;Dan;02.01.2021;0.51400462962963;Contract related;Y;Y;68;12:05:59 AM;4;Y;
ID0085;Becky;02.01.2021;0.52900462962963;Technical Support;Y;Y;106;12:04:22 AM;5;Y;
ID0086;Martha;02.01.2021;0.52900462962963;Technical Support;Y;Y;32;12:04:36 AM;3;Y;
ID0087;Jim;02.01.2021;0.53099537037037;Payment related;N;N;;;;N;
ID0088;Martha;02.01.2021;0.53099537037037;Admin Support;Y;N;45;12:01:26 AM;4;Y;
ID0089;Joe;02.01.2021;0.54099537037037;Technical Support;Y;Y;119;12:03:32 AM;4;Y;
ID0090;Dan;02.01.2021;0.54099537037037;Streaming;N;N;;;;N;
ID0091;Jim;02.01.2021;0.54400462962963;Contract related;Y;Y;46;12:05:41 AM;1;Y;
ID0092;Stewart;02.01.2021;0.54400462962963;Technical Support;Y;Y;101;12:01:28 AM;3;Y;
ID0093;Jim;02.01.2021;0.545;Technical Support;Y;Y;56;12:02:52 AM;3;Y;
ID0094;Becky;02.01.2021;0.545;Technical Support;Y;Y;80;12:00:53 AM;3;Y;
ID0095;Diane;02.01.2021;0.55099537037037;Streaming;Y;Y;24;12:01:36 AM;3;Y;
ID0096;Stewart;02.01.2021;0.55099537037037;Payment related;Y;Y;113;12:03:54 AM;2;Y;
ID0097;Greg;02.01.2021;0.55599537037037;Contract related;Y;Y;19;12:02:03 AM;4;Y;
ID0098;Martha;02.01.2021;0.55599537037037;Streaming;N;N;;;;N;
ID0099;Dan;02.01.2021;0.55599537037037;Contract related;Y;Y;45;12:06:37 AM;3;Y;
ID0100;Diane;02.01.2021;0.55599537037037;Technical Support;Y;Y;95;12:05:11 AM;1;Y;
ID0101;Becky;02.01.2021;0.57299768518519;Technical Support;N;N;;;;N;
ID0102;Martha;02.01.2021;0.57299768518519;Technical Support;Y;N;79;12:05:31 AM;1;Y;
ID0103;Diane;02.01.2021;0.57599537037037;Payment related;Y;Y;22;12:03:56 AM;2;Y;
ID0104;Martha;02.01.2021;0.57599537037037;Contract related;Y;Y;38;12:06:36 AM;1;Y;
